Query	MUrl	PUrl	Fidelity_Control	Fidelity_Treatment	InL1WithoutSpaceV	Experiment_InL1WithoutSpaceV
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?w=792&h=416&crop=1	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.thepinknews.com/wp-content/uploads/2023/05/Beyonce-L-pays-tribute-to-Tina-Turner-R-with-River-Deep-Mountain-High-cover.-Getty_Kevin-Mazur.jpg?w=792&h=416&crop=1	https://www.thepinknews.com/2023/05/30/beyonce-tina-turner-renaissance-tour-london-river-deep-mountain-high/	0.3529412	1	False	True
beyonce tributes tina turner	https://www.hotnewhiphop.com/imgprst/765x510-cover-81-auto/2023/05/Beyonce-Posts-Touching-Tribute-To-Tina-Turner.jpg	https://www.hotnewhiphop.com/681771-beyonce-posts-touching-tribute-tina-turner	0.3529412	1	True	True
beyonce tributes tina turner	https://nypost.com/wp-content/uploads/sites/2/2023/05/GettyImages-84197658-e1685001635681.jpg?w=1024	https://nypost.com/2023/05/25/beyonce-shares-touching-tribute-to-beloved-queen-tina-turner/	0.3529412	1	False	True
beyonce tributes tina turner	https://nypost.com/wp-content/uploads/sites/2/2023/05/GettyImages-84197658-e1685001635681.jpg	https://nypost.com/2023/05/25/beyonce-shares-touching-tribute-to-beloved-queen-tina-turner/	0.3529412	1	True	True
happiness in death book by camus	https://i.pinimg.com/originals/08/c3/0d/08c30dadde413da6300bcc0c3327a7c7.jpg	https://www.artofit.org/image-gallery/212724782388102848/a-happy-death-by-albert-camus-first-edition/	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/51I+rum0N5L._SX342_SY445_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/1664748474	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/514lvQieaaL._SL1200_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/41mKV3oTadL._SX342_SY445_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/B000I1T3WC	0.32	0.72	True	True
happiness in death book by camus	https://m.media-amazon.com/images/I/514lvQieaaL._SY425_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/71Gj9g9UbtL._SY385_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/0679764003	0.32	0.72	False	True
happiness in death book by camus	https://m.media-amazon.com/images/I/91S-8WX+enL._SL1500_.jpg	https://www.amazon.com/Happy-Death-Albert-Camus/dp/B000I1T3WC	0.32	0.72	False	True
happiness in death book by camus	https://boredabsurdist.com/wp-content/uploads/2024/06/albert-camus-a-happy-death-book-review.jpg	https://boredabsurdist.com/2024/06/26/sisyphus-brings-happiness-to-the-working-class-man-notes-and-quotes-from-a-happy-death-by-albert-camus/	0.32	0.72	True	True
happiness in death book by camus	https://i.pinimg.com/originals/e0/f2/2d/e0f22d0ff9be2d6db7064bc0bf4db9b3.jpg	https://www.artofit.org/image-gallery/212724782388102848/a-happy-death-by-albert-camus-first-edition/	0.32	0.72	True	True
